Vehicle ID,Fuel ID,Fuel Configuration ID,Manufacturer ID,Category ID,Model,Model Year,Alternative Fuel Economy City,Alternative Fuel Economy Highway,Alternative Fuel Economy Combined,Conventional Fuel Economy City,Conventional Fuel Economy Highway,Conventional Fuel Economy Combined,Transmission Type,Engine Type,Engine Size,Engine Cylinder Count,Engine/Motor(s) Description,Manufacturer,Manufacturer URL,Category,Fuel Code,Fuel,Fuel Configuration Name,Electric-Only Range,PHEV Total Range,PHEV Type,Notes,Drivetrain,Charging Rate Level 2 (kW),Charging Rate DC Fast (kW),Charging Speed Level 1 (miles added per hour of charging),Charging Speed Level 2 (miles added per hour of charging),Charging Speed DC Fast (miles added per hour of charging),Battery Voltage,Battery Capacity Amp Hours,Battery Capacity kWh,Seating Capacity,,,,
12629,41,1,237,29,Model Y Long Range AWD,2021,131,117,125,,,,Auto,e-motor,69 and 201 kW electric motors,,"69 and 201 kW electric motors;
235 Ah battery",Tesla,https://www.tesla.com/models/design,SUV,ELEC,Electric,Dedicated,326,,,,,,,,,,,,,,,,,
12256,41,1,237,29,Model X Long Range,2019,99,93,96,,,,Auto,e-motor,"193, 205, 375 kW electric motor",,"193, 205, and 375 kW electric motors;
250 Ah battery",Tesla,https://www.tesla.com/models/design,SUV,ELEC,Electric,Dedicated,325,,,,,,,,,,,,,,,,,
13228,41,1,211,29,iX xDrive50,2023,,,83-86,,,,Auto,e-motor,TBD,,TBD,BMW,https://www.bmwusa.com,SUV,ELEC,Electric,Dedicated,324,,,,AWD,11,195,3,28,393,330,232,76,5,,,,
13050,41,1,211,29,"iX xDrive50 (20"" Wheels) ",2022,86,87,86,,,,Auto,e-motor,190 and 230 kW electric motors,,"190 and 230 kW electric motors;
303 Ah battery",BMW,https://www.bmwusa.com,SUV,ELEC,Electric,Dedicated,324,,,,AWD,,,,,,,,,,,,,
12373,41,1,237,27,Model 3 Long Range AWD,2020,124,116,121,,,,Auto,e-motor,147 kW and 188 kW electric motor,,"147 kW and 188 kW electric motors;
230 Ah battery",Tesla,https://www.tesla.com/models/design,Sedan/Wagon,ELEC,Electric,Dedicated,322,,,,,,,,,,,,,,,,,
12374,41,1,237,27,"Model 3 Long Range Performance AWD (18"" Wheels)",2020,124,116,121,,,,Auto,e-motor,147 kW and 188 kW electric motor,,"147 kW and 188 kW electric motors;
230 Ah battery",Tesla,https://www.tesla.com/models/design,Sedan/Wagon,ELEC,Electric,Dedicated,322,,,"This model is also available with 19"" or 20"" wheels, at reduced fuel economy and range.",,,,,,,,,,,,,,
13319,41,1,470,29,R1S,2023,,,64-71,,,,Auto,e-motor,162 kW (x2) and 163 kW (x2),,162 kW (x2) and 163 kW (x2) electric motors,Rivian ,,SUV,ELEC,Electric,Dedicated,321,,,"Includes 20"", 21"", and 22"" wheel options",AWD,11.5,209,2,24,349,400,360,144,7,,,,
13317,41,1,219,25,F150 Lightning 4WD Plat/Ext. Range,2023,,,66-70,,,,Auto,e-motor,210 kW electric motors (x2),,210 kW electric motors (x2),Ford,https://www.ford.com,Pickup,ELEC,Electric,Dedicated,320,,,Includes Platinum and Extended Range models,AWD,11.6-19.6,150,2,24-40,249,403,410,165,5,,,,
13094,41,1,219,25,F150 Lightning 4WD Extended Range,2022,78,63,70,,,,Auto,e-motor,210 kW electric motors (x2),,"210 kW electric motors (X2);
410 Ah battery",Ford,https://www.ford.com,Pickup,ELEC,Electric,Dedicated,320,,,,AWD,,,,,,,,,,,,,
13227,41,1,211,27,i7 xDrive60 Sedan,2023,,,83-89,,,,Auto,e-motor,TBD,,TBD,BMW,https://www.bmwusa.com,Sedan/Wagon,ELEC,Electric,Dedicated,318,,,"Includes models with 19"", 20"", and 21"" wheels",AWD,,,,,,376,281,105,5,,,,
13342,41,1,351,27,Ioniq 6 Long range AWD,2023,,,103-121,,,,Auto,e-motor,74 and 165 kW ,,74 and 165 kW electric motors,Hyundai,http://www.hyundaiusa.com/,Sedan/Wagon,ELEC,Electric,Dedicated,316,,,"Includes models with 18"" and 20"" wheels",AWD,,,,,,697,111,77,,,,,
12970,41,1,470,29,R1S,2022,73,65,69,,,,Auto,e-motor,"162, 162, 163, 163 kW ",,"162, 162, 163, 163kW electric independent electric motors;
360Ah battery",Rivian ,,SUV,ELEC,Electric,Dedicated,316,,,,Part-Time 4WD,,,,,,,,,,,,,
12498,41,1,237,29,Model Y Long Range AWD,2020,127,114,121,,,,Auto,e-motor,158 and 203 kW electric motors,,"158 and 203 kW electric motors;
230 Ah battery",Tesla,https://www.tesla.com/models/design,SUV,ELEC,Electric,Dedicated,316,,,,,,,,,,,,,,,,,
13052,41,1,211,29,"iX xDrive50 (22"" Wheels) ",2022,86,85,86,,,,Auto,e-motor,190 and 230 kW electric motors,,"190 and 230 kW electric motors;
303 Ah battery",BMW,https://www.bmwusa.com,SUV,ELEC,Electric,Dedicated,315,,,,AWD,,,,,,,,,,,,,
13015,41,1,237,27,Model 3 Performance AWD,2022,118,107,113,,,,Auto,e-motor,131kW and 190 kW electric motors,,"131kW and 190 kW electric motors; 
235 Ah battery",Tesla,https://www.tesla.com/models/design,Sedan/Wagon,ELEC,Electric,Dedicated,315,,,,AWD,,,,,,,,,,,,,
12627,41,1,237,27,Model 3 Performance AWD,2021,118,107,113,,,,Auto,e-motor,131 and 190 kW electric motors,,"131 kW and 190 kW electric motors;
235 Ah battery",Tesla,https://www.tesla.com/models/design,Sedan/Wagon,ELEC,Electric,Dedicated,315,,,,,,,,,,,,,,,,,
12454,41,1,237,29,Model Y Performance AWD,2020,129,112,121,,,,Auto,e-motor,147 and 211 kW electric motors,,"147 and 211 kW electric motors;
230 Ah battery",Tesla,https://www.tesla.com/models/design,SUV,ELEC,Electric,Dedicated,315,,,,,,,,,,,,,,,,,
12176,41,1,237,27,Model S P100D,2019,92,105,98,,,,Auto,e-motor,193 kW and 375 kW electric motor,,"193 kW and 375 kW electric motor;
245 Ah battery",Tesla,https://www.tesla.com/models/design,Sedan/Wagon,ELEC,Electric,Dedicated,315,,,,,,,,,,,,,,,,,
13055,41,1,219,29,Mustang Mach-E RWD California Route 1,2022,108,94,101,,,,Auto,e-motor,216 kW electric motor,,"216 kW electric motor;
288 Ah battery",Ford,https://www.ford.com,SUV,ELEC,Electric,Dedicated,314,,,,RWD,,,,,,,,,,,,,
12971,41,1,470,25,R1T,2022,74,66,70,,,,Auto,e-motor,"162, 162, 163, 163 kW ",,"162, 162, 163, 163kW electric independent electric motors;
360Ah battery",Rivian ,,Pickup,ELEC,Electric,Dedicated,314,,,,Part-Time 4WD,,,,,,,,,,,,,
13335,41,1,219,29,Mustang Mach-E AWD CAL RT 1/EXT,2023,,,92-98,,,,Auto,e-motor,258 kW electric motors (x2),,258 kW electric motors (x2),Ford,https://www.ford.com,SUV,ELEC,Electric,Dedicated,312,,,Includes California Route 1 and Extended models,AWD,11,115-150,3,30,331,404,288,116,5,,,,
13109,41,1,231,29,Lyric,2023,97,82,89,,,,Auto,e-motor,255 kW electric motor,,255 kW electric motor,Cadillac,http://www.cadillac.com,SUV,ELEC,Electric,Dedicated,312,,,,RWD,11.5-19.2,190,4,29,401,400,298,119,5,,,,
13056,41,1,219,29,Mustang Mach-E AWD California Route 1,2022,105,91,98,,,,Auto,e-motor,258 kW electric motors (x2),,"258 kW electric motors (x2);
288 Ah battery",Ford,https://www.ford.com,SUV,ELEC,Electric,Dedicated,312,,,,AWD,,,,,,,,,,,,,
13021,41,1,237,29,"Model X Plaid (22"" Wheels)",2022,94,88,91,,,,Auto,e-motor,230kW electric motors (X3),,"230kW electric motors (X3);
256 Ah battery",Tesla,https://www.tesla.com/models/design,SUV,ELEC,Electric,Dedicated,311,,,,AWD,,,,,,,,,,,,,
13332,41,1,219,29,Mustang Mach-E RWD,2023,,,99-103,,,,Auto,e-motor,216 kW electric motor,,216 kW electric motor,Ford,https://www.ford.com,SUV,ELEC,Electric,Dedicated,310,,,Includes Extended model,RWD,11,115-150,3,30,331,404,288,116,5,,,,
13232,41,1,361,27,EV6 Standard/Long Range RWD,2023,,,117,,,,Auto,e-motor,TBD,,TBD,Kia,http://www.kia.com,Sedan/Wagon,ELEC,Electric,Dedicated,310,,,,RWD,11,200,4,36,527,697,111,77,5,,,,
13007,41,1,361,27,EV6 RWD (Long Range) ,2022,134,101,117,,,,Auto,e-motor,168 kW electric motor,,"168 kW electric motor;
111 Ah battery",Kia,http://www.kia.com,Sedan/Wagon,ELEC,Electric,Dedicated,310,,,,RWD,,,,,,,,,,,,,
12181,41,1,237,27,Model 3 Long Range,2019,136,123,130,,,,Auto,e-motor,211 kW electric motor,,"211 kW electric motor;
230 Ah battery",Tesla,https://www.tesla.com/models/design,Sedan/Wagon,ELEC,Electric,Dedicated,310,,,,,,,,,,,,,,,,,
12182,41,1,237,27,Model 3 Long Range AWD,2019,120,112,116,,,,Auto,e-motor,147 kW and 188 kW electric motor,,"147 kW and 188 kW electric motors;
230 Ah battery",Tesla,https://www.tesla.com/models/design,Sedan/Wagon,ELEC,Electric,Dedicated,310,,,,,,,,,,,,,,,,,
12179,41,1,237,27,Model 3 Long Range AWD Performance,2019,120,112,116,,,,Auto,e-motor,147 kW and 211 kW electric motor,,"147 kW and 211 kW electric motors;
230 Ah battery",Tesla,https://www.tesla.com/models/design,Sedan/Wagon,ELEC,Electric,Dedicated,310,,,,,,,,,,,,,,,,,
13339,41,1,231,29,Lyric AWD,2023,96,81,89,,,,Auto,e-motor,155 and 220 kW,,155 and 220 kW electric motor,Cadillac,http://www.cadillac.com,SUV,ELEC,Electric,Dedicated,307,,,,AWD,11.5-19.2,190,4,29,401,400,298,119,5,,,,
13238,41,1,239,29,EQS 450+ (SUV),2023,87,83,85,,,,Auto,e-motor,TBD,,TBD,Mercedes-Benz,https://www.mbusa.com,SUV,ELEC,Electric,Dedicated,305,,,,RWD,9.6,200,3,27,456,396,282,111,5,,,,
13051,41,1,211,29,"iX xDrive50 (21"" Wheels) ",2022,82,84,83,,,,Auto,e-motor,190 and 230 kW electric motors,,"190 and 230 kW electric motors;
303 Ah battery",BMW,https://www.bmwusa.com,SUV,ELEC,Electric,Dedicated,305,,,,AWD,,,,,,,,,,,,,
12714,41,1,219,27,Mustang Mach-E RWD California Route 1,2021,108,94,101,,,,Auto,e-motor,216 kW electric motor,,"216 kW electric motor;
288 kWh battery",Ford,https://www.ford.com,Sedan/Wagon,ELEC,Electric,Dedicated,305,,,,,,,,,,,,,,,,,
12365,41,1,237,29,"Model X Performance (20"" Wheels)",2020,90,89,90,,,,Auto,e-motor,205 and 375 kW electric motors,,"205 and 375 kW electric motors;
250 Ah battery",Tesla,https://www.tesla.com/models/design,SUV,ELEC,Electric,Dedicated,305,,,"This model is also available with 22"" wheels, at reduced fuel economy and 272 miles range.",,,,,,,,,,,,,,
13241,41,1,217,27,ARIYA FWD 87kWh,2023,,,98-103,,,,Auto,e-motor,TBD,,TBD,Nissan,http://www.nissanusa.com,Sedan/Wagon,ELEC,Electric,Dedicated,304,,,"Includes EVO+, EMP+, PRM, and VENTURE+ models",FWD,,,,,,352,258,90,,,,,
13054,41,1,219,29,Mustang Mach-E RWD Extended,2022,104,90,97,,,,Auto,e-motor,216 kW electric motor,,"216 kW electric motor;
288 Ah battery",Ford,https://www.ford.com,SUV,ELEC,Electric,Dedicated,303,,,,RWD,,,,,,,,,,,,,
13004,41,1,351,27,Ioniq 5 RWD (Long Range),2022,132,98,114,,,,Auto,e-motor,168 kW electric motor,,"168 kW electric motor;
111 Ah battery",Hyundai,http://www.hyundaiusa.com/,Sedan/Wagon,ELEC,Electric,Dedicated,303,,,,RWD,,,,,,,,,,,,,
13016,41,1,237,29,Model Y Performance AWD,2022,115,106,111,,,,Auto,e-motor,133 and 179 kW electric motors,,"133 and 179 kW electric motors;
235 Ah battery",Tesla,https://www.tesla.com/models/design,SUV,ELEC,Electric,Dedicated,303,,,,AWD,,,,,,,,,,,,,
12628,41,1,237,29,Model Y Performance AWD,2021,115,106,111,,,,Auto,e-motor,133 and 179 kW electric motors,,"133 and 179 kW electric motors;
235 Ah battery",Tesla,https://www.tesla.com/models/design,SUV,ELEC,Electric,Dedicated,303,,,,,,,,,,,,,,,,,
13225,41,1,211,27,i4 eDrive35/40 Gran Coupe,2023,,,99-113,,,,Auto,e-motor,250 kW,,250 kW electric motor,BMW,https://www.bmwusa.com,Sedan/Wagon,ELEC,Electric,Dedicated,301,,,"Includes eDrive35 and eDrive40 models with 18"" and 19"" wheels",RWD,11,195,4,33,463,399,211,84,,,,,
13047,41,1,211,27,"i4 eDrive40 Gran Coupe (18"" Wheels) ",2022,109,108,109,,,,Auto,e-motor,250 kW electric motor,,"250 kW electric motor;
211 Ah battery",BMW,https://www.bmwusa.com,Sedan/Wagon,ELEC,Electric,Dedicated,301,,,,RWD,,,,,,,,,,,,,
13095,41,1,219,25,F150 Lightning Platinum 4WD,2022,73,60,66,,,,Auto,e-motor,210 kW electric motors (x2),,"210 kW electric motors (X2);
410 Ah battery",Ford,https://www.ford.com,Pickup,ELEC,Electric,Dedicated,300,,,,AWD,,,,,,,,,,,,,
12665,41,1,219,27,Mustang Mach-E RWD Extended,2021,104,90,97,,,,Auto,e-motor,216 kW electric motor,,"216 kW electric motor;
288 kWh battery",Ford,https://www.ford.com,Sedan/Wagon,ELEC,Electric,Dedicated,300,,,,,,,,,,,,,,,,,
12174,41,1,237,29,Model X 100D,2019,86,89,87,,,,Auto,e-motor,193 kW and 193 kW electric motor,,"193 kW kW electric motor (X2);
250 Ah battery",Tesla,https://www.tesla.com/models/design,SUV,ELEC,Electric,Dedicated,295,,,,,,,,,,,,,,,,,
12497,41,1,237,29,"Model Y Performance AWD (21"" wheels)",2020,116,106,111,,,,Auto,e-motor,158 and 219 kW electric motors,,"158 and 219 kW electric motors;
230 Ah battery",Tesla,https://www.tesla.com/models/design,SUV,ELEC,Electric,Dedicated,291,,,,,,,,,,,,,,,,,
12175,41,1,237,29,Model X P100D,2019,83,89,85,,,,Auto,e-motor,193 kW and 375 kW electric motor,,"193 kW and 375 kW electric motor;
250 Ah battery",Tesla,https://www.tesla.com/models/design,SUV,ELEC,Electric,Dedicated,289,,,,,,,,,,,,,,,,,
